count|model|name|info|keep?
1436741|mail.message|Message| Override MailMessage class in order to add a new type: SMS messages.     Those messages comes with their own notification method, using SMS     gateway. |
833907|mail.followers|Document Followers| mail_followers holds the data related to the follow mechanism inside     Odoo. Partners can choose to follow documents (records) of any kind     that inherits from mail.thread. Following documents allow to receive     notifications for new messages. A subscription is characterized by:      :param: res_model: model of the followed objects     :param: res_id: ID of resource (may be 0 for every objects)     |
670545|mail.tracking.value|Mail Tracking Value| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
528762|ir.model.data|Model Data|Holds external identifier keys for records in the database.        This has two main uses:             * allows easy data integration with third-party systems,              making import/export/sync of data possible, as records              can be uniquely identified across multiple systems            * allows tracking the origin of data installed by Odoo              modules themselves, thus making it possible to later              update them seamlessly.     |
390235|account.move.line|Journal Item| Override AccountInvoice_line to add the link to the purchase order line it is related to|
292133|res.partner|Contact|     Inherited for VAT configuration in partner of Warehouse.     |
278717|report.stock.quantity|Stock Quantity Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
257133|ir.property|Company Property| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
227739|sale.order.line|Sales Order Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
224810|sale.report|Sales Analysis Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
218951|sapentia_shopware_importer.order_line_map|Shopware Order Lines Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
214587|report.all.channels.sales|Sales by Channel (All in One)| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
172428|rules_engine.warehouse_import_line|Warehouse Import Log Line| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
162887|stock.move|Stock Move| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
159550|stock.report|Stock Report| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
135311|rules_engine.breakdown|Rules Engine Result Breakdowns| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
132794|sapentia_shopware_importer.address_map|Shopware Customer Address Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
119098|sale.order|Sales Order| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
113249|account.move|Journal Entries| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
109648|sapentia_shopware_importer.order_map|Shopware Order Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
87340|stock.valuation.layer|Stock Valuation Layer|Stock Valuation Layer|
86826|stock.move.line|Product Moves (Stock Move Line)| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
83515|sapentia_shopware_importer.customer_map|Shopware Customer Map| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
78594|sapentia_shopware_importer.import_errors|Shopware Import Errors| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
68706|account.invoice.report|Invoices Statistics| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
67123|account.partial.reconcile|Partial Reconcile| Main super-class for regular database-persisted Odoo models.      Odoo models are created by inheriting from this class::          class user(Model):             ...      The system will later instantiate the class once per database (on     which the class' module is installed).     |
